,Company,Level,Location,Salary,Title
36,        CACI,senior_level,"Lanham, MD",75000,Senior Data Analyst
37,        Engility,senior_level,"Washington, DC",75000,Senior Data Analyst - Tableau
38,        Booz Allen Hamilton,senior_level,"Arlington, VA",75000,Networks Requirements Analyst
39,"        Technical Management Resources, Inc.",senior_level,"Washington, DC",75000,Data Scientist
40,        USAC,senior_level,"Arlington, VA",75000,Senior Strategy Analyst
41,        Booz Allen Hamilton,senior_level,"Washington, DC",75000,"Data Analyst/General Management Consultant, Lead"
42,        Freddie Mac,senior_level,"Washington, DC 20024 (South West area)",75000,Data Analyst Senior
43,        General Dynamics Mission Systems,senior_level,"McLean, VA 22107",75000,Data Scientist
44,        SAIC,senior_level,"Columbia, MD",75000,Senior Data Analyst - Tableau
45,        Salient CRGT,senior_level,"Washington, DC",75000,Data Scientist 7411
46,"        Pivotal Insight, LLC",senior_level,"Woodlawn, MD",75000,Senior Quantitative Analyst
47,        Vissat Solutions,senior_level,"Andrews AFB, MD",75000,Data Analyst/Data Modeler - US Citizen Clearance Required
48,        Booz Allen Hamilton,senior_level,"Alexandria, VA 22311 (Alexandria Wrest area)",75000,"Operations Research Analyst, Senior"
49,        Regulus Group,senior_level,"Washington, DC",75000,Benefits/Operations Research Analyst
50,        Capital One,,,,"Senior Associate, Business Analyst"
51,        Laureate Education,,,,Sr Analyst Analytics
52,        Intuitive.IT,,,,Data Management Senior Analyst
53,        Softrams,,,,Sr. Data Analyst
54,        Teksouth Corporation,,,,Data Analytics (Active Secret Clearance)
55,        Systems Planning and Analysis,,,,CD18-479: Program Analyst
56,"        Akima, LLC",,,,Sr. Data Analyst
0,        Guidehouse,entry_level,"Washington, DC",85000,Data Analyst - Experienced Associate
1,        National Geospatial-Intelligence Agency,entry_level,"Washington, DC 20036 (Downtown area)",85000,Data Analyst - Pay Band 3
2,"        Credible Behavioral Health, Inc.",entry_level,"Quantico, VA",85000,Data Integration & Reporting Analyst
3,        Government of the District of Columbia,entry_level,"Washington, DC",85000,Program Analyst
4,        Uber,entry_level,"Washington, DC",85000,"Data Analyst II, Strategy & Planning"
5,        JCTM,entry_level,"Washington, DC",85000,Data Analyst
6,        Government of the District of Columbia,entry_level,"Woodlawn, MD",85000,Investigative Analyst
7,        The Soter Group,entry_level,"Washington, DC 20003 (Capitol Hill area)",85000,Data Analyst
8,        Guidehouse,entry_level,"Washington, DC",85000,Data Analyst - Associate
9,        US Department of Health And Human Services,entry_level,"Washington, DC",85000,Public Health Analyst
10,        Child and Family Services Agency,entry_level,"Washington, DC",85000,Management Analyst
11,        Avila Trading,entry_level,"Montgomery County, MD",85000,Data Analayst
12,        Central Intelligence Agency,entry_level,"Washington, DC",85000,Human Resources Analyst
13,        US Department of Health And Human Services,entry_level,"Washington, DC 20022 (Brentwood area)",85000,Program Analyst
14,        US Department of Health And Human Services,entry_level,"Washington, DC",85000,IRB Analyst
15,        Facebook,entry_level,"Washington, DC",85000,Privacy Risk Analyst
16,        Fannie Mae,entry_level,"Washington, DC 20002 (Capitol Hill area)",85000,Analyst I - Capital Markets Risk
17,        BlueLabs Analytics,entry_level,"Washington, DC",85000,DATA ANALYST
18,        US Department of Health And Human Services,entry_level,"Washington, DC",85000,Management Analyst
19,        General Dynamics Information Technology,entry_level,"Washington, DC 20004 (Downtown area)",85000,Data Analyst - Splunk
20,        US Department of Transportation,entry_level,"Arlington, VA",85000,Program Analyst
21,        Optoro,entry_level,"Washington, DC",85000,Data Analyst
22,        US Department of Energy,entry_level,"Alexandria, VA 22314 (Southwest Quadrant area)",85000,Operations Research Analyst
23,        Booz Allen Hamilton,entry_level,"McLean, VA",85000,"Data Analyst, Junior"
24,        Central Intelligence Agency,entry_level,"Washington, DC",85000,Data Scientist
25,        Tios Capital,entry_level,"Washington, DC",85000,Junior Quant Analyst
26,"        IQlogg, Inc",entry_level,"Arlington, VA 22202 (Aurora Highlands area)",85000,Data Analyst
27,        U.S. Federal Government,entry_level,"Washington, DC",85000,Senior Social Impact Analyst
28,        U.S. Federal Government,entry_level,"Washington, DC",85000,Budget Analyst
29,        Boulevard Consulting Group,entry_level,"Washington, DC 20037 (Foggy Bottom area)",85000,Junior Data Analyst
30,        Guidehouse,entry_level,"Washington, DC",85000,Data Analyst - Experienced Associate
31,        TechFlow,entry_level,"Washington, DC",85000,Data Analyst
32,        Atlantic Media,entry_level,"Washington, DC 20036 (Downtown area)",85000,Public Policy Research Analyst
33,        Government of the District of Columbia,entry_level,"Alexandria, VA 22314 (Southwest Quadrant area)",85000,OSSE: Financial Programs Analyst
34,        Booz Allen Hamilton,entry_level,"Washington, DC 20005 (Logan Circle area)",85000,Data Scientist
35,        EAB,entry_level,"Washington, DC",85000,"Data Integration Analyst (Full Time, Starting Summer 2019)"
36,        Tios Capital,entry_level,"Washington, DC",85000,Quant Analyst Intern
37,        IMTAS,entry_level,"Washington, DC 20003 (Capitol Hill area)",85000,Data Analyst/Architect
38,        Booz Allen Hamilton,entry_level,"Vienna, VA 22182",85000,University - Data Analyst/Scientist
39,        Centra Technology,entry_level,"Washington, DC",85000,Imagery Analyst
40,        Fort Hill Group,entry_level,"Washington, DC",85000,Human Factors Safety Analyst
41,        McLean Bible Church,entry_level,"Washington, DC 20006 (Foggy Bottom area)",85000,Data Visualization Analyst
42,        GGTI,entry_level,"Washington, DC 20003 (Capitol Hill area)",85000,Data Scientist
43,        Central Intelligence Agency,entry_level,"Bethesda, MD",85000,Technical Targeting Analyst
44,        Morrison & Foerster,entry_level,"Washington, DC",85000,National Security Analyst
45,        General Dynamics Information Technology,entry_level,"Tysons, VA",85000,Metrics and Data Analytics Analyst
46,"        Federal Management Systems, Inc.",entry_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",85000,Data Analyst
47,        Aveshka,entry_level,"College Park, MD",85000,Public Health Analyst – Disaster Science
48,        Logistics Management Institute,entry_level,"Washington, DC 20006 (Foggy Bottom area)",85000,Junior Data Scientist
49,        Deloitte,entry_level,"Washington, DC",85000,Business Strategy Analyst
50,        Optimal Solutions Group,,,,Data Scientist Jr.
51,        MSAG,,,,Strategic Information Analyst and Support Officer
52,"        Triumph Enterprises, Inc.",,,,Business Data Analyst
53,        Guidehouse,,,,BI Data Management Analyst
54,        Central Intelligence Agency,,,,Technical Targeting Analyst
0,        Summit Technologies LLC,mid_level,"Washington, DC",85000,Business Analyst
1,        Exelon Corporation,mid_level,"Washington, DC",85000,Business Analyst
2,        DC Housing Authority,mid_level,"Rockville, MD",85000,Senior Applications Analyst
3,        9th Way Solutions,mid_level,"Upper Marlboro, MD",85000,Data Scientist (Junior Level)
4,        9th Way Solutions,mid_level,"Washington, DC",85000,Research Analyst (Junior Level)
5,        Montgomery County Government,mid_level,"Washington, DC",85000,Performance Management and Data Analyst I/II/III (CountyStat...
6,        Prince George's County Public Schools,mid_level,"Falls Church, VA 22041",85000,Management Analyst
7,        9th Way Solutions,mid_level,"Washington, DC",85000,Quality Assurance Analyst (Junior Level)
8,        Curve IT Consulting,mid_level,"Woodlawn, MD",85000,Data Analyst
9,        Northrop Grumman,mid_level,"Washington, DC",85000,"Data Insight Analyst, People Analytics"
10,        9th Way Solutions,mid_level,"Washington, DC 20044 (Downtown area)",85000,IT Analyst (Junior Level)
11,        Halfaker and Associates,mid_level,"Washington, DC 20036 (Downtown area)",85000,Junior Data Analyst
12,        9th Way Solutions,mid_level,"Fairfax, VA 22030",85000,Data Scientist (Mid-Level)
13,        AECOM,mid_level,"Washington, DC",85000,Data Systems Analyst
14,        Virtual Enterprise Architects,mid_level,"Washington, DC",85000,Data Analyst
15,        Fairfax County Government,mid_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",85000,Program Analyst (Management Analyst III)
16,        9th Way Solutions,mid_level,"Baltimore, MD",85000,Quality Assurance Analyst (Mid-Level)
17,        9th Way Solutions,mid_level,"Washington, DC",85000,Research Analyst (Mid-Level)
18,"        DevTech Systems, Inc.",mid_level,"Washington, DC",85000,Data Curation Specialist/ Analyst
19,        T. Rowe Price,mid_level,"Clinton, MD 20735",85000,Equity Data Insights Analyst
20,        The Ambit Group,mid_level,"Washington, DC",85000,Data Analyst
21,        9th Way Solutions,mid_level,"Washington, DC",85000,IT Analyst (Mid-Level)
22,        Piper Companies,mid_level,"Arlington, VA 22202 (Aurora Highlands area)",85000,Data Analyst
23,        Federal Reserve Board of Governors,mid_level,"Washington, DC 20001 (Shaw area)",85000,Data Governance Analyst - Office of the Chief Data Officer
24,        Risk Solutions,mid_level,"Alexandria, VA",85000,Data Analyst - LNSSI
25,        DURAMTECH,mid_level,"Washington, DC 20005 (Logan Circle area)",85000,Data Analyst
26,        General Electric,mid_level,"Washington, DC",85000,Data Scientist
27,        InnovaSystems International,mid_level,"Reston, VA",85000,Data Analyst I
28,        CACI,mid_level,"Washington, DC 20005 (Logan Circle area)",85000,Data Analyst
29,"        G2SF, INC.",mid_level,"Washington, DC",85000,Data Analyst
30,        comScore,mid_level,"Arlington, VA",85000,Associate Data Analyst
31,        Municipal Securities Rulemaking Board,mid_level,"Washington, DC",85000,Data Analyst
32,        Sehlke Consulting LLC,mid_level,"Washington, DC",85000,Data Analyst (Req. 061418.01-N15)
33,        Advantia Health LLC,mid_level,"Laurel, MD 20707",85000,Data Analyst
34,        BluePrint Consulting Services Group,mid_level,"McLean, VA 22107",85000,Computer Data Analyst
35,        Federal Reserve Board of Governors,mid_level,"Fairfax, VA 22030",85000,Business Analyst - Research & Statistics
36,        WSSC,mid_level,"Washington, DC 20022 (Brentwood area)",85000,Quality Management Analyst
37,        Capital One,mid_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",85000,Principal Data Analyst
38,        Fairfax County Government,mid_level,"Falls Church, VA 22041",85000,Applications Analyst (Business Analyst III)
39,        Fannie Mae,mid_level,"Washington, DC",85000,Quantitative Analyst II
40,        Govini,mid_level,"Washington, DC 20260 (South West area)",85000,Analyst
41,        Northrop Grumman,mid_level,"Washington, DC",85000,"Data Scientist, People Analytics"
42,        9th Way Solutions,mid_level,"McLean, VA",85000,Business Intelligence Developer (Junior Level)
43,        SyApps LLC,mid_level,"Bowie, MD",85000,Business/Data Analyst II - F33031
44,        Integrated Data Services (IDS),mid_level,"Washington, DC",85000,Business Data Analyst
45,        Hilton Corporate,mid_level,"Washington, DC 20006 (Foggy Bottom area)",85000,"Senior Analyst, Master Data Governance"
46,        Inovalon Healthcare Empowered,mid_level,"Arlington, VA",85000,Data Analyst (Tableau)
47,        MRP,mid_level,"Arlington, VA 22202 (Aurora Highlands area)",85000,Principal Data Scientist
48,        M Powered Strategies,mid_level,"Arlington, VA",85000,Program and Data Analyst
49,        Booz Allen Hamilton,mid_level,"Arlington, VA 22202 (Aurora Highlands area)",85000,Energy Policy and Data Analyst
50,        IBM,,,,Data Analyst Consultant
51,        ECS Federal LLC,,,,Data Analysts
52,        LOCKHEED MARTIN CORPORATION,,,,Government Affairs Research Analyst
53,        Common Securitization Solutions,,,,PMO Governance & Reporting Analyst
54,        Kratos Defense,,,,Financial/Budget Analyst
55,"        G2SF, INC.",,,,Data Analyst
0,        Guidehouse,senior_level,"Washington, DC",85000,Data Analyst - Senior Associate
1,        National Security Agency,senior_level,"Washington, DC",85000,Intelligence Analyst
2,        Interos,senior_level,"Washington, DC",85000,Senior Data Analyst
3,        Dantech Corporation,senior_level,"Washington, DC",85000,"Senior Data Architect (576247) // US or GC // DC, MD, or VA..."
4,        Perspecta,senior_level,"Fort Meade, MD",85000,Senior Data Research Analyst
5,        CRL Technologies,senior_level,"Washington, DC 20005 (Logan Circle area)",85000,Senior Program Analyst
6,        9th Way Solutions,senior_level,"Washington, DC",85000,Research Analyst (Senior)
7,        9th Way Solutions,senior_level,"Washington, DC 20250 (South West area)",85000,Quality Assurance Analyst (Senior)
8,        iSolutions,senior_level,"Washington, DC",85000,Senior Data Analyst
9,        9th Way Solutions,senior_level,"Arlington, VA",85000,Data Scientist (Senior)
10,        National Security Agency,senior_level,"Arlington, VA",85000,Intelligence Analyst
11,        Blue State Digital,senior_level,"Arlington, VA 22203 (Bluemont area)",85000,"Senior Analyst, Data Strategy"
12,        9th Way Solutions,senior_level,"McLean, VA",85000,IT Analyst (Senior)
13,        Engility,senior_level,"Washington, DC 20001 (Shaw area)",85000,Senior Data Analyst - Tableau
14,"        TWCS, LLC",senior_level,"Washington, DC",85000,Counterintelligence Analyst
15,"        CALIBRE Systems, Inc.",senior_level,"Washington, DC 20004 (Downtown area)",85000,Data Analyst
16,        Salient CRGT,senior_level,"McLean, VA 22107",85000,Data Scientist 7411
17,        Interos,senior_level,"Washington, DC 20001 (Shaw area)",85000,Senior Data Analyst
18,        LHH,senior_level,"Vienna, VA 22182",85000,Sr. Business Analyst
19,        Le'fant,senior_level,"Washington, DC",85000,Senior Strategic Planning Analyst
20,        SAIC,senior_level,"Bethesda, MD",85000,Senior Data Analyst - Tableau
21,        JP Morgan Chase,senior_level,"Washington, DC",85000,JPMorgan Chase Institute- Outreach Senior Analyst
22,        Capital One,senior_level,"Washington, DC",85000,Senior Data Analyst
23,        The Building People,senior_level,"Washington, DC 20036 (Downtown area)",85000,Senior Data Analyst
24,        IT CONCEPTS,senior_level,"Washington, DC 20024 (South West area)",85000,Data Scientist
25,"        Akima, LLC",senior_level,"Washington, DC 20024 (South West area)",85000,Sr. Data Analyst
26,        Step Ahead Solutions,senior_level,"Woodlawn, MD",85000,SR. DATA ANALYST 8/01/2018
27,        E3 Federal,senior_level,"Bethesda, MD",85000,Law Enforcement Analyst
28,        Volaray Capital Partners,senior_level,"Washington, DC 20005 (Logan Circle area)",85000,Sr. Quantitative Analyst
29,        Grant Thornton,senior_level,"Washington, DC 20005 (Logan Circle area)",85000,Operations Research Data Analyst
30,        Regulus Group,senior_level,"Washington, DC 20005 (Logan Circle area)",85000,Benefits/Operations Research Analyst
31,        Engility,senior_level,"Reston, VA",85000,Regulatory Analyst – FAA eFAST
32,        Softrams,senior_level,"Bolling AFB, DC 20032 (Anacostia area)",85000,Sr. Data Analyst
33,"        Aledade, Inc.",senior_level,"Woodlawn, MD",85000,Data Analyst / Senior Data Analyst
34,        CACI,senior_level,"Washington, DC",85000,Strategic Planning Analyst
35,        Blue State Digital,senior_level,"Fort Detrick, MD 21702",85000,Senior Analyst
36,        CACI,senior_level,"Rosslyn, VA",85000,Senior Data Analyst
37,        DAtec,senior_level,"Alexandria, VA 22311 (Alexandria Wrest area)",85000,Business Analyst Sr.
38,        Spectrum Comm Inc,senior_level,"Springfield, VA 22150",85000,Strategic Business Data Analyst
39,        Halfaker and Associates,senior_level,"Springfield, VA",85000,Senior Data Analyst
40,        Objectstream,senior_level,"McLean, VA 22102",85000,Senior I IT Analyst - Tableau
41,        General Dynamics Information Technology,senior_level,"Ashburn, VA",85000,Senior Finance Analyst
42,        AbleVets LLC,senior_level,"Washington, DC 20032 (Anacostia area)",85000,"Requirements Analyst, Sr."
43,        Systems Planning and Analysis,senior_level,"Bethesda, MD 20813",85000,CD18-479: Program Analyst
44,        Engility,senior_level,"Washington, DC",85000,Training Program Analyst
45,        Blackwatch International,senior_level,"Alexandria, VA",85000,GEOINT Data Scientist
46,        Freddie Mac,senior_level,"Washington, DC 20005 (Logan Circle area)",85000,Data Analyst Senior
47,        Visa,senior_level,"Washington, DC 20001 (Shaw area)",85000,Senior Fraud Operations Analyst
48,"        FAR Government, Inc.",senior_level,"Arlington, VA",85000,Strategic Business Data Analyst
49,        Perspecta,senior_level,"Washington, DC",85000,Senior Data Research Analyst
50,        USAC,,,,Senior Strategy Analyst
51,"        Inalab Consulting, Inc",,,,Sr. Business Analyst
52,        CACI,,,,Principal Acquisition Analyst
53,        National Governors Association,,,,"Senior Policy Analyst - Environment, Energy & Transportation"
54,        Booz Allen Hamilton,,,,Networks Requirements Analyst
55,        EIS,,,,Senior Analyst - PEO/APEO
0,        Central Intelligence Agency,entry_level,"Washington, DC 20036 (Downtown area)",100000,Technical Targeting Analyst
1,        National Geospatial-Intelligence Agency,entry_level,"Washington, DC",100000,Data Analyst - Pay Band 4
2,        Synchrony,entry_level,"Washington, DC",100000,"VP, PayPal Analytics"
3,        Uber,entry_level,"Washington, DC",100000,"Data Analyst II, Strategy & Planning"
4,        Government of the District of Columbia,entry_level,"Woodlawn, MD",100000,Program Analyst
5,        Avila Trading,entry_level,"Washington, DC",100000,Data Analayst
6,        Guidehouse,entry_level,"Washington, DC",100000,Data Analyst - Associate
7,        US Department of Health And Human Services,entry_level,"Washington, DC",100000,Public Health Analyst
8,        US Department of Health And Human Services,entry_level,"Tysons, VA",100000,Management Analyst
9,        U.S. Federal Government,entry_level,"Washington, DC 20003 (Capitol Hill area)",100000,Senior Social Impact Analyst
10,        Booz Allen Hamilton,entry_level,"Arlington, VA",100000,University - Data Analyst/Scientist
11,        Logistics Management Institute,entry_level,"Washington, DC",100000,Junior Data Scientist
12,        Child and Family Services Agency,entry_level,"Washington, DC",100000,Management Analyst
13,        Booz Allen Hamilton,entry_level,"Washington, DC",100000,"Data Analyst, Junior"
14,        US Department of Transportation,entry_level,"Quantico, VA",100000,Program Analyst
15,        Facebook,entry_level,"Washington, DC",100000,Privacy Risk Analyst
16,        Booz Allen Hamilton,entry_level,"Washington, DC",100000,Data Scientist
17,        JCTM,entry_level,"Washington, DC",100000,Data Analyst
18,        Aveshka,entry_level,"Washington, DC",100000,Public Health Analyst – Disaster Science
19,        RiskSpan,entry_level,"Washington, DC 20004 (Downtown area)",100000,Data Analyst / Business Analyst for Financial Services - con...
20,        US Department of Health And Human Services,entry_level,"College Park, MD",100000,Program Analyst
21,        Booz Allen Hamilton,entry_level,"Washington, DC",100000,University - Data Scientist Consultant
22,        US Department of Energy,entry_level,"Washington Navy Yard, DC",100000,Operations Research Analyst
23,        Optimal Solutions Group,entry_level,"Arlington, VA",100000,Data Scientist Jr.
24,        U.S. Federal Government,entry_level,"Arlington, VA",100000,Budget Analyst
25,        US Department of Commerce,entry_level,"Washington, DC 20597 (Downtown area)",100000,"Program Analyst, GG-0343-14, Census-DE-TG"
26,        US Department of the Navy,entry_level,"Washington, DC 20004 (Downtown area)",100000,SUPERVISORY FINANCIAL MANAGEMENT ANALYST
27,        Gartner,entry_level,"Annapolis Junction, MD",100000,Associate Data Scientist
28,        US Department of Education,entry_level,"Washington, DC",100000,"Supervisory Management and Program Analyst, GS-0343-15 (DEU)"
29,        US Department of Energy,entry_level,"Washington, DC",100000,Supervisory Industry Analyst
30,        Booz Allen Hamilton,entry_level,"Washington, DC",100000,CMD Summer Games Data Scientist - Intern
31,        Global Resource Solutions,entry_level,"Alexandria, VA",100000,Data Scientist II
32,        Guidehouse,entry_level,"Arlington, VA",100000,BI Data Management Analyst
33,        Booz Allen Hamilton,entry_level,"Sterling, VA",100000,Data Scientist Consultant
34,        Booz Allen Hamilton,entry_level,"Fort Meade, MD",100000,"Data Scientist, Junior"
35,        Fors Marsh Group,entry_level,"Falls Church, VA",100000,"Quantitative Researcher, Social Science"
36,        Bell Info Solutions,entry_level,"McLean, VA",100000,Data Analysts
37,        US Department of Defense,entry_level,"Washington, DC",100000,FINANCIAL MANAGEMENT ANALYST
38,        Booz Allen Hamilton,entry_level,"Timonium, MD",100000,"Project Management Support Analyst, Junior"
39,        Booz Allen Hamilton,entry_level,"Washington, DC",100000,Data Analyst
40,        Deloitte,entry_level,"Arlington, VA",100000,"Data Scientist, Client Experience / Research and Insights"
41,        Synchrony,entry_level,"Alexandria, VA 22314 (Southwest Quadrant area)",100000,"VP, PayPal Analytics"
42,        Deloitte,entry_level,"Arlington, VA",100000,"Principal Data Scientist, Client Experience / Research and I..."
43,        Booz Allen Hamilton,entry_level,"Washington, DC",100000,"Data Science/Operations Research Analyst, Mid"
44,        Tios Capital,entry_level,"Washington, DC",100000,Junior Quant Analyst
45,        US Department of Defense,entry_level,"Washington, DC 20004 (Downtown area)",100000,BUDGET ANALYST
46,        GGTI,entry_level,"Fort Meade, MD",100000,Data Scientist
47,"        Techflow, Inc.",entry_level,"Baltimore, MD",100000,Junior Analyst
48,        US Department of Energy,entry_level,"Arlington, VA",100000,Supervisory Energy Industry Analyst
49,        US Department of Defense,entry_level,"Washington, DC",100000,Program Analyst
50,        Federal Reserve Bank of Richmond,,,,DATA SCIENTIST - INTERMEDIATE
51,        Booz Allen Hamilton,,,,"Operations Research Analyst, Junior"
52,        Deloitte,,,,ServiceNow Biz Analyst
53,"        Integration Resolve, Inc.",,,,Data Analyst / Data Architect
54,        Guidehouse,,,,BI Data Management Analyst
55,        Gridiron IT,,,,Data Scientist
0,"        G2SF, INC.",mid_level,"Washington, DC",100000,Data Analyst
1,        Common Securitization Solutions,mid_level,"Washington, DC",100000,PMO Governance & Reporting Analyst
2,        WSSC,mid_level,"Washington, DC",100000,Economics Analyst – Engineering Economic Analysis
3,        Transamerica,mid_level,"Washington, DC",100000,ALM Quantitative Analyst
4,"        ASR Analytics, LLC",mid_level,"Clinton, MD 20735",100000,Mid-Level Data Scientist
5,        Ethics & Compliance Initiative (ECI),mid_level,"Washington, DC 20001 (Shaw area)",100000,Data Scientist
6,        9th Way Solutions,mid_level,"Washington, DC",100000,Data Scientist (Junior Level)
7,        9th Way Solutions,mid_level,"Washington, DC",100000,Data Scientist (Mid-Level)
8,        9th Way Solutions,mid_level,"Washington, DC",100000,Research Analyst (Junior Level)
9,        9th Way Solutions,mid_level,"Arlington, VA 22202 (Aurora Highlands area)",100000,Research Analyst (Mid-Level)
10,        Piper Companies,mid_level,"Washington, DC",100000,Data Analyst
11,        General Electric,mid_level,"Washington, DC",100000,Data Scientist
12,        9th Way Solutions,mid_level,"Washington, DC",100000,IT Analyst (Junior Level)
13,        9th Way Solutions,mid_level,"Washington, DC",100000,IT Analyst (Mid-Level)
14,        Federal Reserve Board of Governors,mid_level,"Washington, DC",100000,Data Governance Analyst - Office of the Chief Data Officer
15,        IBM,mid_level,"Washington, DC",100000,Data Analyst Consultant
16,        Salient CRGT,mid_level,"Washington, DC",100000,Junior Data Scientist
17,        MEDSTAR HEALTH RESEARCH INSTITUTE (MHRI),mid_level,"Rosslyn, VA",100000,Data Scientist
18,        9th Way Solutions,mid_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",100000,Business Intelligence Developer (Junior Level)
19,        MRP,mid_level,"Washington, DC",100000,Principal Data Scientist
20,"        G2SF, INC.",mid_level,"Washington, DC",100000,Data Analyst
21,        CRGT Inc.,mid_level,"Arlington, VA 22203 (Bluemont area)",100000,Junior Data Scientist
22,        9th Way Solutions,mid_level,"Washington, DC 20006 (Foggy Bottom area)",100000,Quality Assurance Analyst (Junior Level)
23,        AbleVets LLC,mid_level,"Washington, DC 20022 (Brentwood area)",100000,Requirements Analyst
24,        Xenia Systems,mid_level,"McLean, VA 22107",100000,Data Analyst
25,        9th Way Solutions,mid_level,"Washington, DC 20001 (Shaw area)",100000,Business Intelligence Engineer (Junior Level)
26,        Sehlke Consulting LLC,mid_level,"Washington, DC 20260 (South West area)",100000,Data Analyst (Req. 061418.01-N15)
27,        Interos,mid_level,"Arlington, VA 22203 (Bluemont area)",100000,Data Scientist
28,        AFL-CIO,mid_level,"Washington, DC",100000,Lead Data Scientist
29,        Fannie Mae,mid_level,"Washington, DC",100000,Quantitative Analyst II
30,        Capital One,mid_level,"Washington, DC",100000,Data Scientist
31,        AARP,mid_level,"Washington, DC",100000,Segment Data and Analysis Advisor
32,        SyApps LLC,mid_level,"McLean, VA 22107",100000,Business/Data Analyst II - F33031
33,        IVYSYS TECHNOLOGIES LLC,mid_level,"Bowie, MD",100000,DATA SCIENTIST
34,        SAIC,mid_level,"Washington, DC",100000,Data Scientist
35,        9th Way Solutions,mid_level,"Washington, DC",100000,Quality Assurance Analyst (Mid-Level)
36,        Knexus Research Corp.,mid_level,"Alexandria, VA",100000,Data Analytics Engineer
37,        District of Columbia Public Schools,mid_level,"McLean, VA",100000,"Director, College Preparedness Programs"
38,        Capital One,mid_level,"Washington, DC 20250 (South West area)",100000,Principal Data Analyst
39,        Inovalon Healthcare Empowered,mid_level,"Washington, DC",100000,Data Analyst (Tableau)
40,        RTI International,mid_level,"Arlington, VA",100000,Data Analytics Manager
41,        9th Way Solutions,mid_level,"Washington, DC",100000,Business Intelligence Engineer (Mid-Level)
42,        Booz Allen Hamilton,mid_level,"College Park, MD",100000,IT Data Strategist
43,        HexaCorp,mid_level,"Washington, DC",100000,Data Analyst
44,        Engility,mid_level,"Washington, DC 20022 (Brentwood area)",100000,Data Scientist
45,        Guidehouse,mid_level,"Washington, DC 20037 (Foggy Bottom area)",100000,CIO Analyst - Senior Associate
46,        Halfaker and Associates,mid_level,"Washington, DC 20017 (Catholic University-Brookland area)",100000,Data Scientist
47,        Volaray Capital Partners,mid_level,"Arlington, VA",100000,Statistical Analyst
48,        Optimal Solutions Group,mid_level,"Washington, DC 20001 (Shaw area)",100000,Associate Data Scientist
49,        9th Way Solutions,mid_level,"Washington, DC 20036 (Downtown area)",100000,Business Intelligence Developer (Mid-Level)
50,        PNC Financial Services Group,,,,Portfolio Analytics & Strategy Analyst
51,        Vanda Pharmaceuticals Inc.,,,,Data Scientist
52,        Volanno,,,,Data Scientist Mid III
53,        SAIC,,,,Decision Analytics Analyst
54,        IBM,,,,Senior Data Scientist
55,        Grant Thornton,,,,Data Scientist
0,        Guidehouse,senior_level,"Washington, DC",100000,Data Analyst - Senior Associate
1,        Dantech Corporation,senior_level,"Washington, DC",100000,"Senior Data Architect (576247) // US or GC // DC, MD, or VA..."
2,        CRL Technologies,senior_level,"Washington, DC",100000,Senior Program Analyst
3,        Concepts Beyond,senior_level,"Washington, DC",100000,Lead Data Architect
4,        Common Securitization Solutions,senior_level,"Washington, DC 20250 (South West area)",100000,Senior Operational Risk Analyst
5,        9th Way Solutions,senior_level,"Arlington, VA",100000,Research Analyst (Senior)
6,        9th Way Solutions,senior_level,"Washington, DC",100000,Quality Assurance Analyst (Senior)
7,        9th Way Solutions,senior_level,"Washington, DC 20001 (Shaw area)",100000,Data Scientist (Senior)
8,        9th Way Solutions,senior_level,"Washington, DC 20004 (Downtown area)",100000,IT Analyst (Senior)
9,        Engility,senior_level,"Vienna, VA 22182",100000,Senior Data Analyst - Tableau
10,        Salient CRGT,senior_level,"Washington, DC",100000,Data Scientist 7411
11,        SAIC,senior_level,"Bethesda, MD",100000,Senior Data Analyst - Tableau
12,        Le'fant,senior_level,"McLean, VA 22107",100000,Senior Strategic Planning Analyst
13,        JP Morgan Chase,senior_level,"Washington, DC 20024 (South West area)",100000,JPMorgan Chase Institute- Outreach Senior Analyst
14,        IT CONCEPTS,senior_level,"Woodlawn, MD",100000,Data Scientist
15,"        Akima, LLC",senior_level,"Washington, DC 20005 (Logan Circle area)",100000,Sr. Data Analyst
16,        Step Ahead Solutions,senior_level,"Ashburn, VA",100000,SR. DATA ANALYST 8/01/2018
17,        Capital One,senior_level,"Springfield, VA",100000,Senior Data Analyst
18,        Engility,senior_level,"Washington, DC",100000,Regulatory Analyst – FAA eFAST
19,        Softrams,senior_level,"Washington, DC",100000,Sr. Data Analyst
20,        CACI,senior_level,"Linthicum, MD",100000,Senior Data Analyst
21,        Visa,senior_level,"McLean, VA 22102",100000,Senior Fraud Operations Analyst
22,        Blackwatch International,senior_level,"Washington, DC 20005 (Logan Circle area)",100000,GEOINT Data Scientist
23,        Objectstream,senior_level,"Washington, DC",100000,Senior I IT Analyst - Tableau
24,        USAC,senior_level,"Washington, DC",100000,Senior Strategy Analyst
25,        Rividium,senior_level,"Washington, DC",100000,Project Manager/Business Analyst
26,        Freddie Mac,senior_level,"Washington, DC",100000,Data Analyst Senior
27,        CACI,senior_level,"Washington, DC",100000,Principal Acquisition Analyst
